SampleEvent,X.x,Sample.Event.Particle.Data.Sheet,Survey,Date,Site,Rep,Time_Starting,Time_Ending,Coord_Starting_Y,Coord_Starting_X,Coord_Ending_Y,Coord_Ending_X,Distance_Km,Speed_Kts,FlowMeter_Starting,FlowMeter_Ending,Total_FlowMeter,Total_Water_Sampled_m3,Total_Water_Sampled_liter,Air_T_degC,Water_T_degC,Wind_Speed_ms,Precipitation_WkBefore_inch,Tidal_Period,Tidal_Height_ft,Time_After_Tidal_Change,Surveyors,Sampling_Vessel,Season,X.y,SampleType,SampleCode,MeshSize,Slide.Filter..,UniqueS_ID,UniqueP_ID,Date.photographed,Slide.cell.coordinates,Shape.Category,Shape.sub.cat.,Particle.Texture,Color,L..um.,W..um.,Image_name,Spectra_name,material_ID,Additive_ID,Match_Proportion_Polymer,Match_Proportion_Additive,Library_used,Notes,Melt.Test,Identification..plastic..organic..other.,Slide.coordinates,"Identification..plastic..organic..other. == ""Plastic""",Particles/m3
BLS_2-1,9,BLS_2-1,2,2/20/21,BLS,1,11:39:00,11:54:00,41.43445,-71.37005,41.43736,-71.38001,0.8911,3,23530,27301,3771,142.99632,142996.32,0.55,1.95,4.45,NA,flood,1.7,3:58:00,"RMD, JR, JM, KN",Maritime Skiff,Winter,2282,NS,BLS_2-1_NS,330,1,BLS_2-1_NS_330_1,BLS_2-1_NS_330_1_A,5/25/21,A,Fiber,Fiber bundle,NA,Orange,7272.594,2648.494,BLS_2-1_NS_330_1_A,BLS_2-1_NS_330_1_A_SP,PET,NA,65.49,NA,PKRL,Cropped to remove fluorescence above 1800 and below 600 rel cm-1.,Y,Plastic,NA,TRUE,0.153850113
BLS_2-1,9,BLS_2-1,2,2/20/21,BLS,1,11:39:00,11:54:00,41.43445,-71.37005,41.43736,-71.38001,0.8911,3,23530,27301,3771,142.99632,142996.32,0.55,1.95,4.45,NA,flood,1.7,3:58:00,"RMD, JR, JM, KN",Maritime Skiff,Winter,2290,NS,BLS_2-1_NS,330,1,BLS_2-1_NS_330_1,BLS_2-1_NS_330_1_I,5/25/21,I,Fiber,Single fiber,NA,Blue,14649.386,28.238,BLS_2-1_NS_330_1_I,BLS_2-1_NS_330_1_I_SP,NA,NA,NA,NA,NA,Spectrum fluorescence,Y,Plastic,NA,TRUE,0.153850113
BLS_2-1,9,BLS_2-1,2,2/20/21,BLS,1,11:39:00,11:54:00,41.43445,-71.37005,41.43736,-71.38001,0.8911,3,23530,27301,3771,142.99632,142996.32,0.55,1.95,4.45,NA,flood,1.7,3:58:00,"RMD, JR, JM, KN",Maritime Skiff,Winter,2291,NS,BLS_2-1_NS,330,1,BLS_2-1_NS_330_1,BLS_2-1_NS_330_1_J,5/25/21,J,Fragment,Film,NA,Clear,3873.529,1245.912,BLS_2-1_NS_330_1_J,BLS_2-1_NS_330_1_J_SP,PE,NA,81.02,NA,PKRL,NA,Y,Plastic,NA,TRUE,0.153850113
BLS_2-1,9,BLS_2-1,2,2/20/21,BLS,1,11:39:00,11:54:00,41.43445,-71.37005,41.43736,-71.38001,0.8911,3,23530,27301,3771,142.99632,142996.32,0.55,1.95,4.45,NA,flood,1.7,3:58:00,"RMD, JR, JM, KN",Maritime Skiff,Winter,2295,NS,BLS_2-1_NS,330,1,BLS_2-1_NS_330_1,BLS_2-1_NS_330_1_N,5/25/21,N,Fiber,Single fiber,NA,Black,6107.596,67.724,BLS_2-1_NS_330_1_N,BLS_2-1_NS_330_1_N_SP,PA,NA,61.04,NA,PKRL,Cropped to remove fluorescence below 1000 rel cm-1 and between 1700 and 2800 rel cm-1. Remaining peaks match well with PA except for one peak at 1525 rel cm-1.,Y,Plastic,NA,TRUE,0.153850113
BLS_2-1,9,BLS_2-1,2,2/20/21,BLS,1,11:39:00,11:54:00,41.43445,-71.37005,41.43736,-71.38001,0.8911,3,23530,27301,3771,142.99632,142996.32,0.55,1.95,4.45,NA,flood,1.7,3:58:00,"RMD, JR, JM, KN",Maritime Skiff,Winter,2297,NS,BLS_2-1_NS,330,1,BLS_2-1_NS_330_1,BLS_2-1_NS_330_1_P,5/25/21,P,Fragment,Film,NA,Clear,751.964,321.185,BLS_2-1_NS_330_1_P,BLS_2-1_NS_330_1_P_SP,NA,NA,NA,NA,NA,No plausible matches,Y,Plastic,NA,TRUE,0.153850113
BLS_2-1,9,BLS_2-1,2,2/20/21,BLS,1,11:39:00,11:54:00,41.43445,-71.37005,41.43736,-71.38001,0.8911,3,23530,27301,3771,142.99632,142996.32,0.55,1.95,4.45,NA,flood,1.7,3:58:00,"RMD, JR, JM, KN",Maritime Skiff,Winter,2296,NS,BLS_2-1_NS,330,1,BLS_2-1_NS_330_1,BLS_2-1_NS_330_1_O,5/25/21,O,Fragment,Rounded/Sub-rounded,NA,Blue,900.377,423.011,BLS_2-1_NS_330_1_O,BLS_2-1_NS_330_1_O_SP,PP,NA,86.07,NA,PKRL,NA,Y,Plastic,NA,TRUE,0.153850113
BLS_2-1,9,BLS_2-1,2,2/20/21,BLS,1,11:39:00,11:54:00,41.43445,-71.37005,41.43736,-71.38001,0.8911,3,23530,27301,3771,142.99632,142996.32,0.55,1.95,4.45,NA,flood,1.7,3:58:00,"RMD, JR, JM, KN",Maritime Skiff,Winter,2304,NC,BLS_2-1_NC,330,1,BLS_2-1_NC_330_1,BLS_2-1_NC_330_1_F,5/25/21,F,Fiber,Single fiber,NA,Clear,10225.217,52.595,BLS_2-1_NC_330_1_F,BLS_2-1_NC_330_1_F_SP,PP,NA,84.06,NA,PKRL,NA,Y,Plastic,NA,TRUE,0.153850113
BLS_2-1,9,BLS_2-1,2,2/20/21,BLS,1,11:39:00,11:54:00,41.43445,-71.37005,41.43736,-71.38001,0.8911,3,23530,27301,3771,142.99632,142996.32,0.55,1.95,4.45,NA,flood,1.7,3:58:00,"RMD, JR, JM, KN",Maritime Skiff,Winter,2305,NC,BLS_2-1_NC,330,1,BLS_2-1_NC_330_1,BLS_2-1_NC_330_1_G,5/25/21,G,Fiber,Single fiber,NA,Clear,3365.502,59.116,BLS_2-1_NC_330_1_G,BLS_2-1_NC_330_1_G_SP,PP,NA,90.55,NA,PKRL,NA,Y,Plastic,NA,TRUE,0.153850113
BLS_2-1,9,BLS_2-1,2,2/20/21,BLS,1,11:39:00,11:54:00,41.43445,-71.37005,41.43736,-71.38001,0.8911,3,23530,27301,3771,142.99632,142996.32,0.55,1.95,4.45,NA,flood,1.7,3:58:00,"RMD, JR, JM, KN",Maritime Skiff,Winter,2292,NS,BLS_2-1_NS,330,1,BLS_2-1_NS_330_1,BLS_2-1_NS_330_1_K,5/25/21,K,Fiber,Single fiber,NA,Clear,4917.213,678.419,BLS_2-1_NS_330_1_K,BLS_2-1_NS_330_1_K_SP,PVC,NA,82.66,NA,PKRL,NA,Y,Plastic,NA,TRUE,0.153850113
BLS_2-1,9,BLS_2-1,2,2/20/21,BLS,1,11:39:00,11:54:00,41.43445,-71.37005,41.43736,-71.38001,0.8911,3,23530,27301,3771,142.99632,142996.32,0.55,1.95,4.45,NA,flood,1.7,3:58:00,"RMD, JR, JM, KN",Maritime Skiff,Winter,2288,NS,BLS_2-1_NS,330,1,BLS_2-1_NS_330_1,BLS_2-1_NS_330_1_G,5/25/21,G,Fragment,Film,NA,White,1811.682,2083.548,BLS_2-1_NS_330_1_G,BLS_2-1_NS_330_1_G_SP,PE,NA,75.91,NA,PKRL,NA,Y,Plastic,NA,TRUE,0.153850113
